time,q1,q2,q3,q4,q5,q6,x,y,z,roll,pitch,yaw,qx,qy,qz,qw
1,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.408615365,-0.899663752,-0.012605825,0.153230902
2,-0.695,-0.83,0.946,1.15,1.515,1.74,-0.808729897,0.439258435,0.419703206,-3.033894031,-0.290942253,2.270167418,-0.409920158,-0.898986802,-0.012812869,0.153701088
3,-0.722,-0.8,0.879,1.165,1.508,1.749,-0.811143221,0.47266957,0.426487565,-3.020109128,-0.310349638,2.232718604,-0.424452633,-0.890193466,-0.013828799,0.16493732
4,-0.726,-0.795,0.87,1.167,1.507,1.751,-0.81131681,0.477592503,0.426482863,-3.018101266,-0.311893138,2.226536184,-0.426941693,-0.888804804,-0.013788977,0.166002033
5,-0.717,-0.806,0.894,1.161,1.509,1.747,-0.810541933,0.466187234,0.424287851,-3.022687391,-0.305850411,2.240073897,-0.421657297,-0.891983258,-0.013386509,0.16245551
6,-0.668,-0.857,1.004,1.138,1.521,1.732,-0.806148909,0.406997958,0.414628449,-3.04547655,-0.274017412,2.306293286,-0.395351062,-0.907095152,-0.01183607,0.14399941
7,-0.551,-0.931,1.179,1.116,1.546,1.715,-0.797264861,0.282275082,0.393241873,-3.086945319,-0.201059232,2.443448566,-0.337595592,-0.935534954,-0.008770061,0.10356955
8,-0.448,-0.963,1.273,1.117,1.561,1.716,-0.790428271,0.185549664,0.376740279,-3.110956627,-0.140855738,2.546933167,-0.291177018,-0.953955846,-0.006004638,0.071750492
9,-0.308,-0.975,1.346,1.135,1.571,1.733,-0.781654101,0.06609522,0.356479456,-3.13131517,-0.063977519,2.6710535,-0.232822987,-0.971979513,-0.002460775,0.032299051
10,-0.229,-0.969,1.365,1.152,1.572,1.747,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341,-0.201212241,-0.979481169,-0.000902437,0.011378059
11,-0.288,-0.968,1.379,1.153,1.57,1.746,-0.771149703,0.046870895,0.339619046,-3.139623843,-0.006553474,2.678385235,-0.229534224,-0.973294577,0.00020598,0.003415197
12,-0.371,-0.961,1.377,1.155,1.57,1.743,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026,0.268274914,0.963342308,-0.000406304,6.18E-05
13,-0.488,-0.936,1.349,1.167,1.57,1.743,-0.758523166,0.205540473,0.32911513,3.140800073,0.009203997,2.481381668,0.324137644,0.945998654,-0.001116809,0.004481965
14,-0.591,-0.896,1.295,1.191,1.571,1.75,-0.751122304,0.294493826,0.322756912,3.137968858,0.018859804,2.371356763,0.375635292,0.926717824,-0.00186335,0.009419699
15,-0.651,-0.876,1.245,1.214,1.572,1.748,-0.745349074,0.349235323,0.330059432,3.138256497,0.01180038,2.313376641,0.402356919,0.915462351,-0.000847005,0.00607262
16,-0.763,-0.817,1.103,1.275,1.571,1.75,-0.734195619,0.46131276,0.348394942,-3.140046854,-0.009675747,2.199380504,-0.45386337,-0.89105782,-0.00150707,0.004661644
17,-0.76,-0.825,1.095,1.289,1.571,1.75,-0.734966873,0.458528916,0.360300025,-3.139690321,-0.011643715,2.202376704,-0.452523922,-0.891732753,-0.001786404,0.005622015
18,-0.708,-0.885,1.084,1.359,1.571,1.748,-0.743983335,0.407874923,0.423805749,-3.13953731,-0.012631835,2.256374696,-0.428283857,-0.903621598,-0.001776454,0.006147399
19,-0.668,-0.921,1.061,1.417,1.571,1.749,-0.750658175,0.37066412,0.470611886,-3.139347386,-0.013613934,2.295372292,-0.410581609,-0.911797756,-0.001771294,0.006667593
