time,q1,q2,q3,q4,q5,q6,x,y,z,roll,pitch,yaw,qx,qy,qz,qw
1,-0.693,-0.833,0.951,1.149,1.515,1.739,-0.807,0.436,0.42,-3.0382735212637,-0.289101660530806,2.275294843687865,-0.408,-0.9,-0.014,0.152
2,-0.695,-0.83,0.946,1.15,1.515,1.74,-0.808,0.438,0.42,-3.038805258179018,-0.2917390799268016,2.2725534851581,-0.409,-0.899,-0.015,0.153
3,-0.722,-0.8,0.879,1.165,1.508,1.749,-0.81,0.472,0.426,-3.023205846470338,-0.3098815818216488,2.233893094369594,-0.424,-0.89,-0.015,0.164
4,-0.726,-0.795,0.87,1.167,1.507,1.751,-0.81,0.476,0.427,-3.023401934150939,-0.3122743816792953,2.229243043700975,-0.426,-0.889,-0.016,0.165
5,-0.717,-0.806,0.894,1.161,1.509,1.747,-0.809,0.465,0.425,-3.026257439081981,-0.3066083896179581,2.241800626821872,-0.421,-0.892,-0.015,0.162
6,-0.668,-0.857,1.004,1.138,1.521,1.732,-0.805,0.406,0.415,-3.050635748692258,-0.2738514031679734,2.308394055331919,-0.395,-0.908,-0.014,0.143
7,-0.551,-0.931,1.179,1.116,1.546,1.715,-0.796,0.281,0.394,-3.089846979173069,-0.2008286492815936,2.44519113609701,-0.337,-0.936,-0.01,0.103
8,-0.448,-0.963,1.273,1.117,1.561,1.716,-0.789,0.185,0.377,-3.115397340905918,-0.1406666367594561,2.549532872343492,-0.29,-0.954,-0.008,0.071
9,-0.308,-0.975,1.346,1.135,1.571,1.733,-0.781,0.066,0.357,-3.13645215079128,-0.0645950520266783,2.672827655015857,-0.232,-0.972,-0.005,0.032
10,-0.229,-0.969,1.365,1.152,1.572,1.747,-0.776,0.002,0.346,3.140113054161652,-0.02274990593925327,2.73897526794342,-0.2,-0.98,-0.003,0.011
11,-0.288,-0.968,1.379,1.153,1.57,1.746,-0.77,0.046,0.34,3.139072534459975,-0.006759574006019159,2.679305269478627,-0.229,-0.973,-0.002,0.003
12,-0.371,-0.961,1.377,1.155,1.57,1.743,-0.765,0.111,0.336,3.137205226466021,0.000859493005011431,2.601195434997325,0.267,0.964,0.002,0.001
13,-0.488,-0.936,1.349,1.167,1.57,1.743,-0.757,0.205,0.329,3.135820145830592,0.01071389740041294,2.483508521343686,0.323,0.946,0.001,0.006
