"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
0,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-1.185,-0.291,0.06100000000000001,1.570796326794897,-0,0,0.7071067811865475,0,0,0.7071067811865476
1,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.8083451942641048,0.4365924737351684,0.419885571915271,-3.034373895143241,-0.2900649314732335,2.273257441461379,-0.4086153648931579,-0.8996637523874013,-0.01260582531590966,0.1532309021756283
2,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.8083451942641048,0.4365924737351684,0.419885571915271,-3.034373895143241,-0.2900649314732335,2.273257441461379,-0.4086153648931579,-0.8996637523874013,-0.01260582531590966,0.1532309021756283
3,-0.695,-0.83,0.946,1.15,1.515,1.74,-0.8087298967563941,0.4392584348328367,0.4197032057160548,-3.033894031275697,-0.2909422525145136,2.270167418335493,-0.4099201580819141,-0.8989868018920959,-0.01281286946595537,0.1537010878229832
4,-0.722,-0.8,0.879,1.165,1.508,1.749,-0.8111432211595906,0.4726695697789353,0.4264875648129203,-3.020109127646265,-0.3103496377427141,2.23271860356478,-0.4244526325711692,-0.8901934663145955,-0.01382879887132698,0.1649373200824646
5,-0.726,-0.795,0.87,1.167,1.507,1.751,-0.8113168104137901,0.4775925029138152,0.4264828628407398,-3.018101266103059,-0.3118931383104547,2.226536183652843,-0.4269416925214276,-0.8888048043836673,-0.01378897748094822,0.1660020330944164
6,-0.717,-0.806,0.894,1.161,1.509,1.747,-0.8105419328389555,0.4661872335196121,0.4242878514583654,-3.022687390963071,-0.3058504110355292,2.240073897198762,-0.4216572965244694,-0.8919832582183688,-0.01338650885212732,0.162455509991414
7,-0.668,-0.857,1.004,1.138,1.521,1.732,-0.8061489092364817,0.4069979579045014,0.4146284492671616,-3.045476550395755,-0.2740174121564154,2.306293285835828,-0.3953510622711648,-0.907095152110825,-0.0118360699061117,0.1439994098157291
8,-0.551,-0.931,1.179,1.116,1.546,1.715,-0.7972648609211839,0.2822750817823611,0.3932418727331288,-3.086945318522941,-0.2010592316411368,2.443448566043275,-0.3375955920671387,-0.9355349542005295,-0.008770061227360224,0.1035695501193263
9,-0.448,-0.963,1.273,1.117,1.561,1.716,-0.7904282709579663,0.185549664381843,0.3767402794191165,-3.110956627491965,-0.1408557379688324,2.546933167395485,-0.2911770175300558,-0.9539558457330843,-0.00600463838519322,0.07175049248500333
10,-0.308,-0.975,1.346,1.135,1.571,1.733,-0.7816541006090565,0.06609522036188373,0.3564794557942167,-3.131315170011721,-0.06397751852628832,2.671053500412079,-0.2328229865951682,-0.9719795125257485,-0.002460775414106399,0.0322990514949841
11,-0.229,-0.969,1.365,1.152,1.572,1.747,-0.7771580629064438,0.002627205278587389,0.3459651949752176,-3.138780958803991,-0.02265428918451439,2.736343410268454,-0.2012122406682939,-0.9794811685731433,-0.0009024368644258453,0.01137805886520135
12,-0.288,-0.968,1.379,1.153,1.57,1.746,-0.7711497025517999,0.04687089521811776,0.3396190458428647,-3.139623842614607,-0.006553474142756457,2.678385235142734,-0.2295342244774264,-0.9732945770901519,0.000205979821630466,0.003415197324005989
13,-0.371,-0.961,1.377,1.155,1.57,1.743,-0.7660585986584434,0.1112053459353648,0.3353922569709954,-3.140843004997935,0.0003371144315999984,2.598389025648157,0.2682749137312506,0.9633423076755827,-0.0004063037881729309,6.182236408808307e-05
14,-0.488,-0.9360000000000001,1.349,1.167,1.57,1.743,-0.7585231659745488,0.2055404729617522,0.3291151299963131,3.14080007287831,0.009203996549302545,2.481381668311828,0.3241376439823739,0.9459986535273491,-0.001116809420290689,0.004481965497071589
15,-0.591,-0.896,1.295,1.191,1.571,1.75,-0.7511223043679836,0.294493825791493,0.3227569115715382,3.137968857965473,0.01885980393656596,2.371356762993821,0.375635292061578,0.9267178235882685,-0.001863350093778918,0.009419698937012957
16,-0.651,-0.876,1.245,1.214,1.572,1.748,-0.7453490735871846,0.3492353232549467,0.3300594315791287,3.138256496993387,0.01180038019458567,2.313376640889164,0.4023569185816031,0.9154623509142218,-0.0008470053254775223,0.006072619706692281
17,-0.763,-0.8169999999999999,1.103,1.275,1.571,1.75,-0.7341956194570033,0.461312760053111,0.3483949418343408,-3.140046853887566,-0.009675746894645145,2.199380504308902,-0.4538633703676922,-0.891057820152815,-0.001507069516023153,0.004661643966076164
