"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
0,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-6.030773162401142e-17,-0.2329000000000001,-0.9221,-1.570796326794897,-1.224646799147353e-16,3.141592653589793,4.329780281177466e-17,-0.7071067811865475,0.7071067811865476,4.329780281177466e-17
1,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.4355700967851275,0.1812072127306913,-0.6927716070319465,0.1072187584465524,0.2900649314732336,-0.5176647878715857,0.08819318682217038,0.1259387867640544,-0.2603871777610109,0.9531840858114468
2,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.4355700967851275,0.1812072127306913,-0.6927716070319465,0.1072187584465524,0.2900649314732336,-0.5176647878715857,0.08819318682217038,0.1259387867640544,-0.2603871777610109,0.9531840858114468
3,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.4355700967851275,0.1812072127306913,-0.6927716070319465,0.1072187584465524,0.2900649314732336,-0.5176647878715857,0.08819318682217038,0.1259387867640544,-0.2603871777610109,0.9531840858114468
4,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.4355700967851275,0.1812072127306913,-0.6927716070319465,0.1072187584465524,0.2900649314732336,-0.5176647878715857,0.08819318682217038,0.1259387867640544,-0.2603871777610109,0.9531840858114468
5,-0.694,-0.832,0.95,1.149,1.515,1.739,-0.4350720517828521,0.1813792379604249,-0.69322425215975,0.1072187584465525,0.2900649314732338,-0.5186647878715858,0.0882561451887806,0.1258946744301327,-0.2608637372356621,0.9530537730799826
6,-0.703,-0.822,0.928,1.154,1.513,1.742,-0.4349311951496324,0.186305704617248,-0.6980516447913606,0.1113670439113389,0.29629251128461,-0.5242160355480086,0.09135280665509937,0.128079533589535,-0.2638160105802393,0.9516571916153685
7,-0.714,-0.8100000000000001,0.901,1.16,1.51,1.746,-0.434855389775184,0.1924167729246501,-0.7036865147452113,0.1172309615476505,0.3041755315903992,-0.5306159262752992,0.09553630448735051,0.1307670041530129,-0.2672994426374763,0.9499072655346102
8,-0.726,-0.796,0.87,1.167,1.507,1.751,-0.4345757637252798,0.199051582970681,-0.7100423644628979,0.123688908888427,0.3128753146012547,-0.5368828261298437,0.1001075948585654,0.1337409437521027,-0.2707736839710525,0.9480366245481632
9,-0.726,-0.795,0.87,1.167,1.507,1.751,-0.4339230743865514,0.1984721647487366,-0.710499066561885,0.1234913874867343,0.3118931383104549,-0.5369435300630492,0.09989413650796607,0.1332965580304971,-0.2707806123070814,0.9481197440762176
10,-0.681,-0.845,0.977,1.143,1.518,1.735,-0.4359314791584461,0.1749077331438083,-0.6868205367732826,0.101666635426772,0.2830950731244936,-0.5101642451636311,0.08422640876572204,0.1236414097565278,-0.2564149557769383,0.9549188888663573
11,-0.597,-0.908,1.121,1.121,1.537,1.718,-0.4365928214498993,0.1315209988108416,-0.6532907648289635,0.06875085249254403,0.2292372015160734,-0.4458990353388169,0.05857067993023885,0.1039219582046937,-0.2233599109200573,0.9674089374453781
12,-0.499,-0.95,1.232,1.115,1.554,1.714,-0.4329637782040616,0.08225048916503826,-0.6278585382552226,0.04166145343625569,0.1696037536905735,-0.3537176444480823,0.03532941302810649,0.07970947368137241,-0.177004716453941,0.9803405340663968
13,-0.286,-0.974,1.352,1.139,1.572,1.737,-0.41095894405857,-0.01797162844798389,-0.6085227474017363,0.007721400972106224,0.0532534369329702,-0.1195582971894167,0.005443003609291552,0.02634524846098445,-0.0598245304257438,0.9978463444611988
14,-0.286,-0.974,1.352,1.139,1.572,1.737,-0.41095894405857,-0.01797162844798389,-0.6085227474017363,0.007721400972106224,0.0532534369329702,-0.1195582971894167,0.005443003609291552,0.02634524846098445,-0.0598245304257438,0.9978463444611988
15,-0.228,-0.967,1.371,1.155,1.571,1.75,-0.3976970936601841,-0.04454104946175999,-0.6104346452457251,0.001902332432458344,0.01164371511006111,-0.04878405024620619,0.001092858962345158,0.005796892039359456,-0.0243947179499678,0.9996850001065906
16,-0.31,-0.967,1.38,1.153,1.57,1.745,-0.3962073405840794,-0.01313913892001986,-0.6090807430643133,0.001615597840504617,0.004585710865163571,-0.1357945321808477,0.0009614942790244186,0.002232764579184533,-0.06784675736661577,0.9976927922992733
17,-0.431,-0.951,1.367,1.159,1.57,1.742,-0.3891737157246923,0.03214964511907861,-0.6173021419226686,6.850684495047787e-05,-0.004277885913058488,-0.2597947995759953,-0.0002430974530273592,-0.002125358066003751,-0.129532038441996,0.9915729296293747
