"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
0,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-1.185,-0.291,0.06100000000000001,1.570796326794897,-0,0,0.7071067811865475,0,0,0.7071067811865476
0.5,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.8083451942641048,0.4365924737351684,0.419885571915271,-3.034373895143241,-0.2900649314732335,2.273257441461379,-0.4086153648931579,-0.8996637523874013,-0.01260582531590966,0.1532309021756283
1,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.8083451942641048,0.4365924737351684,0.419885571915271,-3.034373895143241,-0.2900649314732335,2.273257441461379,-0.4086153648931579,-0.8996637523874013,-0.01260582531590966,0.1532309021756283
1.5,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.8083451942641048,0.4365924737351684,0.419885571915271,-3.034373895143241,-0.2900649314732335,2.273257441461379,-0.4086153648931579,-0.8996637523874013,-0.01260582531590966,0.1532309021756283
2,-0.694,-0.8314999999999999,0.9484999999999999,1.1495,1.515,1.7395,-0.808539042099079,0.4379255154911552,0.4197948465976143,-3.034134226069068,-0.2905036754716874,2.271712518215479,-0.4092679130270178,-0.8993255416058491,-0.01270928861772537,0.1534660208798251
2.5,-0.695,-0.83,0.946,1.15,1.515,1.74,-0.8087298967563941,0.4392584348328367,0.4197032057160548,-3.033894031275697,-0.2909422525145136,2.270167418335493,-0.4099201580819141,-0.8989868018920959,-0.01281286946595537,0.1537010878229832
3,-0.7084999999999999,-0.8149999999999999,0.9125,1.1575,1.5115,1.7445,-0.8101949752273216,0.4559975435944384,0.4231264734879815,-3.027054878216418,-0.3006740090603416,2.251464321631987,-0.4172245906971693,-0.8946301029224967,-0.01329425471309599,0.1593232018699278
3.5,-0.722,-0.8,0.879,1.165,1.508,1.749,-0.8111432211595906,0.4726695697789353,0.4264875648129203,-3.020109127646265,-0.3103496377427141,2.23271860356478,-0.4244526325711692,-0.8901934663145955,-0.01382879887132698,0.1649373200824646
4,-0.724,-0.7975000000000001,0.8745000000000001,1.166,1.5075,1.75,-0.8112351514656483,0.4751315338967479,0.4264864094507315,-3.019106113979359,-0.3111222268704965,2.229627630836259,-0.4256979022726421,-0.8895000860678458,-0.0138086038454632,0.1654696810470307
4.5,-0.726,-0.795,0.87,1.167,1.507,1.751,-0.8113168104137901,0.4775925029138152,0.4264828628407398,-3.018101266103059,-0.3118931383104547,2.226536183652843,-0.4269416925214276,-0.8888048043836673,-0.01378897748094822,0.1660020330944164
5,-0.7215,-0.8005,0.882,1.164,1.508,1.749,-0.8109603959755273,0.4718952826912334,0.425390067995559,-3.020401653479579,-0.3088757406141066,2.233307733216815,-0.4243038966550473,-0.8903990114860864,-0.01358540932139524,0.1642292308985015
5.5,-0.717,-0.806,0.894,1.161,1.509,1.747,-0.8105419328389555,0.4661872335196121,0.4242878514583654,-3.022687390963071,-0.3058504110355292,2.240073897198762,-0.4216572965244694,-0.8919832582183688,-0.01338650885212732,0.162455509991414
6,-0.6925,-0.8315,0.9490000000000001,1.1495,1.515,1.7395,-0.8091125525625329,0.4366438036080824,0.419550571552063,-3.034225526078783,-0.2900113878689567,2.273238648187199,-0.408615364893158,-0.8996637523874011,-0.01252920829228603,0.1532371859341613
6.5,-0.668,-0.857,1.004,1.138,1.521,1.732,-0.8061489092364817,0.4069979579045014,0.4146284492671616,-3.045476550395755,-0.2740174121564154,2.306293285835828,-0.3953510622711648,-0.907095152110825,-0.0118360699061117,0.1439994098157291
7,-0.6095,-0.894,1.0915,1.127,1.5335,1.7235,-0.8047307866916481,0.344309965652229,0.4039995545192052,-3.066586836805883,-0.2377081911493647,2.375044735280831,-0.3669362943857307,-0.921917335924976,-0.009782376111483635,0.1238163426251832
7.5,-0.551,-0.931,1.179,1.116,1.546,1.715,-0.7972648609211839,0.2822750817823611,0.3932418727331288,-3.086945318522941,-0.2010592316411368,2.443448566043275,-0.3375955920671387,-0.9355349542005295,-0.008770061227360224,0.1035695501193263
8,-0.4995000000000001,-0.9470000000000001,1.226,1.1165,1.5535,1.7155,-0.7955141595542624,0.2335520005367181,0.3849083957882877,-3.098957689966492,-0.170952914015889,2.495255166889378,-0.314615960979361,-0.9451352314672257,-0.006967166229780466,0.08767924458589711
8.5,-0.448,-0.963,1.273,1.117,1.561,1.716,-0.7904282709579663,0.185549664381843,0.3767402794191165,-3.110956627491965,-0.1408557379688324,2.546933167395485,-0.2911770175300558,-0.9539558457330843,-0.00600463838519322,0.07175049248500333
9,-0.378,-0.969,1.3095,1.126,1.566,1.7245,-0.7884550783588855,0.1252715477447848,0.3664281674696284,-3.120829802028211,-0.1023281722014391,2.609076049115756,-0.2622527492862197,-0.9635874681775676,-0.003453551438200642,0.05206495602061087
9.5,-0.308,-0.975,1.346,1.135,1.571,1.733,-0.7816541006090565,0.06609522036188373,0.3564794557942167,-3.131315170011721,-0.06397751852628832,2.671053500412079,-0.2328229865951682,-0.9719795125257485,-0.002460775414106399,0.0322990514949841
10,-0.2685,-0.972,1.3555,1.1435,1.5715,1.74,-0.7800683514337658,0.03425032986728882,0.3511809376150488,-3.13490646691055,-0.04328898146369344,2.703728826521362,-0.2170644435084227,-0.9759115998790782,-0.001437988885926522,0.02185197413966667
10.5,-0.229,-0.969,1.365,1.152,1.572,1.747,-0.7771580629064438,0.002627205278587389,0.3459651949752176,-3.138780958803991,-0.02265428918451439,2.736343410268454,-0.2012122406682939,-0.9794811685731433,-0.0009024368644258453,0.01137805886520135
11,-0.2585,-0.9684999999999999,1.372,1.1525,1.571,1.7465,-0.7744802416744606,0.02482971876984447,0.3427820081153353,-3.139206593691622,-0.01460410522048304,2.707370050096695,-0.2153952401656314,-0.9764989238710555,-0.0004079266747560907,0.007387542790971524
11.5,-0.288,-0.968,1.379,1.153,1.57,1.746,-0.7711497025517999,0.04687089521811776,0.3396190458428647,-3.139623842614607,-0.006553474142756457,2.678385235142734,-0.2295342244774264,-0.9732945770901519,0.000205979821630466,0.003415197324005989
