"time","x_t","y_t","z_t","roll_t","pitch_t","yaw_t","q1","q2","q3","q4","q5","q6"
0,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,0,0,0,0,0,0
0.01,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.02,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.03,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.04,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.05,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.06,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.07000000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.08,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.09,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.1,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.11,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.12,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.13,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.14,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.15,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.16,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.17,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.18,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.19,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.2,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.21,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.22,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.23,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.24,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.25,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.26,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.27,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.28,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.29,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.3,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.31,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.32,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.33,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.34,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
