time,x_ik,y_ik,z_ik,rx_ik,ry_ik,rz_ik
0,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441
1,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441
2,-0.808729897,0.439258435,0.419703206,-3.033894031,-0.290942253,2.270167418
3,-0.811143221,0.47266957,0.426487565,-3.020109128,-0.310349638,2.232718604
4,-0.81131681,0.477592503,0.426482863,-3.018101266,-0.311893138,2.226536184
5,-0.810541933,0.466187234,0.424287851,-3.022687391,-0.305850411,2.240073897
6,-0.806148909,0.406997958,0.414628449,-3.04547655,-0.274017412,2.306293286
7,-0.797264861,0.282275082,0.393241873,-3.086945319,-0.201059232,2.443448566
8,-0.790428271,0.185549664,0.376740279,-3.110956627,-0.140855738,2.546933167
9,-0.781654101,0.06609522,0.356479456,-3.13131517,-0.063977519,2.6710535
10,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341
11,-0.771149703,0.046870895,0.339619046,-3.139623843,-0.006553474,2.678385235
12,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026
13,-0.758523166,0.205540473,0.32911513,3.140800073,0.009203997,2.481381668
14,-0.751122304,0.294493826,0.322756912,3.137968858,0.018859804,2.371356763
15,-0.745349074,0.349235323,0.330059432,3.138256497,0.01180038,2.313376641
16,-0.734195619,0.46131276,0.348394942,-3.140046854,-0.009675747,2.199380504
17,-0.734966873,0.458528916,0.360300025,-3.139690321,-0.011643715,2.202376704
18,-0.743983335,0.407874923,0.423805749,-3.13953731,-0.012631835,2.256374696
19,-0.750658175,0.37066412,0.470611886,-3.139347386,-0.013613934,2.295372292
20,-0.767809387,0.352422634,0.508395998,-3.120856212,-0.066187733,2.326005155
21,-0.777505103,0.381311833,0.490217748,-3.099489861,-0.124391663,2.305053188
22,-0.810727715,0.475992271,0.427561803,-3.019986966,-0.309245894,2.228735992
23,-0.806716021,0.416371303,0.416418703,-3.042882805,-0.279577227,2.295954514
24,-0.80028026,0.322830228,0.400164474,-3.074446428,-0.225429073,2.399620695
25,-0.796581699,0.273303242,0.391937686,-3.089027661,-0.195320131,2.453635201
26,-0.786868344,0.135555264,0.368555097,-3.119944016,-0.109793209,2.598467688
27,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341
28,-0.776022272,-0.010160061,0.343056863,-3.139678678,-0.011641807,2.748376638
29,-0.769296404,0.070740271,0.33770903,-3.140150383,-0.003600846,2.648387895
30,-0.759994601,0.18395124,0.329955939,3.140979659,0.008219405,2.508383195
31,-0.757297599,0.217086845,0.328423513,3.14045733,0.011174413,2.467378176
32,-0.749480729,0.30867243,0.323210918,3.137790545,0.019843784,2.355353313
33,-0.743958851,0.363465445,0.332142242,3.138794236,0.008850167,2.299382136
34,-0.733503451,0.466545986,0.349761343,-3.13985793,-0.010658002,2.193378636
35,-0.737599661,0.444762125,0.377253028,-3.139701966,-0.011645612,2.21737677
36,-0.751349511,0.367043998,0.475122165,-3.139347386,-0.013613934,2.299372292
37,-0.759060604,0.327145625,0.52556209,-3.138603066,-0.017544629,2.342360942
38,-0.778916204,0.384416388,0.487500727,-3.097449198,-0.13012623,2.302926602
39,-0.800093845,0.446154251,0.447362703,-3.047636641,-0.251353966,2.254851957
40,-0.806474318,0.413900077,0.416256874,-3.043517542,-0.277703978,2.299085879
41,-0.803906003,0.374288148,0.409085673,-3.057787932,-0.255020318,2.343338896
42,-0.796301233,0.268478448,0.391285158,-3.090460506,-0.192494535,2.458713323
43,-0.78798057,0.152017308,0.371569379,-3.117640067,-0.120587825,2.582299296
44,-0.785203107,0.114251132,0.364925212,-3.123917411,-0.09521478,2.620682293
45,-0.776310699,-0.006225051,0.344741582,-3.138815478,-0.016566414,2.745364265
46,-0.775367934,-0.004111316,0.342878871,-3.139690321,-0.011643715,2.741376704
47,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026
48,-0.757073467,0.219595762,0.328057778,3.14045733,0.011174413,2.464378176
49,-0.750819374,0.298092265,0.322639488,3.137790545,0.019843784,2.367353313
50,-0.744996439,0.356075194,0.331307384,3.138618927,0.009834682,2.307380498
51,-0.734147772,0.463621436,0.348652813,-3.140046854,-0.009675747,2.197380504
52,-0.736539726,0.450696716,0.369111613,-3.139868589,-0.010659731,2.210378692
53,-0.751184481,0.367953867,0.473052236,-3.139347386,-0.013613934,2.298372292
54,-0.756922888,0.334571753,0.515933426,-3.139155491,-0.014595665,2.334369687
