"time","x_ik","y_ik","z_ik","roll_ik","pitch_ik","yaw_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
0,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.6929999999524077,-3.059219362924224,-0.9510000849597976,-1.005965858880219,1.514999999932235,1.739000000512618
1,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.6929999999524077,-3.059219362924224,-0.9510000849597976,-1.005965858880219,1.514999999932235,1.739000000512618
2,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.6929999999524077,-3.059219362924224,-0.9510000849597976,-1.005965858880219,1.514999999932235,1.739000000512618
3,-0.808729897,0.439258435,0.419703206,-3.033894031,-0.290942253,2.270167418,-0.6949999999565798,-3.061000897046384,-0.9459999990395527,-1.010184411637644,1.514999999923864,1.74000000033882
4,-0.811143221,0.47266957,0.426487565,-3.020109128,-0.310349638,2.232718604,-0.7220000002747415,-3.095124744709567,-0.8789999999052006,-1.065060562711636,1.508000000165544,1.748999999306995
5,-0.81131681,0.477592503,0.426482863,-3.018101266,-0.311893138,2.226536184,-0.7260000001480629,-3.09874541331441,-0.8700000042668439,-1.072439889288855,1.506999999706522,1.750999999544993
6,-0.810541933,0.466187234,0.424287851,-3.022687391,-0.305850411,2.240073897,-0.717000000278762,-3.086760541793217,-0.8939999992315992,-1.05342476610879,1.509000000004872,1.746999999925627
7,-0.806148909,0.406997958,0.414628449,-3.04547655,-0.274017412,2.306293286,-0.6680000004413995,-3.032571194329337,-1.004000002467646,-0.9616141102731376,1.52099999941562,1.731999999427995
8,-0.797264861,0.282275082,0.393241873,-3.086945319,-0.201059232,2.443448566,-0.5510000001019661,-2.939866422626363,-1.178999999330469,-0.8003188855074712,1.546000000511549,1.714999999930034
9,-0.790428271,0.185549664,0.376740279,-3.110956627,-0.140855738,2.546933167,-0.4480000014204193,-2.882727205161884,-1.273000007760422,-0.7004580946568932,1.560999999937785,1.715999998873402
10,-0.781654101,0.06609522,0.356479456,-3.13131517,-0.063977519,2.6710535,-0.3080000062915283,-2.825740019822596,-1.346000023971182,-0.6054452646661301,1.571000002864956,1.732999993785011
11,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341,-0.2289999996125533,-2.801822539356924,-1.364999999789439,-0.568362767817198,1.5720000001863,1.747000000656103
