"time","x_ik","y_ik","z_ik","rx_ik","ry_ik","rz_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
0,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.8147026631658106,-2.560317252844035,-1.689138309636755,1.935214348448068,-0.2050401031995201,1.17965162887209
1,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.8147026631658106,-2.560317252844035,-1.689138309636755,1.935214348448068,-0.2050401031995201,1.17965162887209
2,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.8147026631658106,-2.560317252844035,-1.689138309636755,1.935214348448068,-0.2050401031995201,1.17965162887209
3,-0.808729897,0.439258435,0.419703206,-3.033894031,-0.290942253,2.270167418,-0.8164531743825176,-2.56236112424688,-1.6863934470919,1.943901818715818,-0.2058337032102936,1.168847161683935
4,-0.811143221,0.47266957,0.426487565,-3.020109128,-0.310349638,2.232718604,-0.8397076197363657,-2.600485085614378,-1.64797923768245,2.053650936038237,-0.2167796756688691,1.033590819494959
5,-0.81131681,0.477592503,0.426482863,-3.018101266,-0.311893138,2.226536184,-0.8431571676004901,-2.604512558097639,-1.642607095822828,2.066011534148902,-0.2193216350918671,1.016369287575638
6,-0.810541933,0.466187234,0.424287851,-3.022687391,-0.305850411,2.240073897,-0.8354063890032,-2.591523673443326,-1.656759063008332,2.03255234343542,-0.2144905394262332,1.059598445461516
7,-0.806148909,0.406997958,0.414628449,-3.04547655,-0.274017412,2.306293286,-0.7929235916543623,-2.529207873816983,-1.715373378407048,1.817920537523815,-0.1990514205251971,1.312961750774217
8,-0.797264861,0.282275082,0.393241873,-3.086945319,-0.201059232,2.443448566,-0.687871288029172,-2.43323657538527,-1.767439334081153,1.261884606301672,-0.2233765180515005,1.906801004803128
9,-0.790428271,0.185549664,0.376740279,-3.110956627,-0.140855738,2.546933167,-0.5904586519732961,-2.385655443620196,-1.799111782835789,0.9755139325095257,-0.2954281110613611,2.230588310476297
10,-0.781654101,0.06609522,0.356479456,-3.13131517,-0.063977519,2.6710535,-0.4501058851480875,-2.330071340739995,-1.847622505925398,0.8014054477545691,-0.4257584409902385,2.449640145995941
11,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341,-0.3668195176523121,-2.303052380809623,-1.866378509525652,0.7447325484568231,-0.5071400883379171,2.519282213554076
